Time,ID,latitude,longitude,altitude,xVelocity,yVelocity,zVelocity
0.000000,1,27.69736,77.45403,200,-1.745,3.022,99.94
1.000000,1,27.69739,77.45401,306.05,-2.163,3.706,112.2
2.000000,1,27.69742,77.45399,424.439,-2.626,4.456,124.6
3.000000,1,27.69747,77.45396,555.345,-3.134,5.272,137.2
4.000000,1,27.69752,77.45393,698.945,-3.688,6.155,150
5.000000,1,27.69758,77.45389,855.419,-4.286,7.103,163
6.000000,1,27.69765,77.45384,1024.94,-4.929,8.117,176.1
7.000000,1,27.69773,77.45379,1207.7,-5.618,9.196,189.4
8.000000,1,27.69781,77.45372,1403.87,-6.352,10.34,202.9
9.000000,1,27.69791,77.45366,1613.61,-7.132,11.55,216.6
10.000000,1,27.69802,77.45358,1837.14,-7.957,12.82,230.5
11.000000,1,27.69814,77.45350,2074.63,-8.828,14.16,244.5
12.000000,1,27.69828,77.45340,2326.27,-9.744,15.57,258.8
13.000000,1,27.69842,77.45330,2592.23,-10.71,17.04,273.2
14.000000,1,27.69858,77.45318,2872.73,-11.72,18.57,287.8
15.000000,1,27.69876,77.45306,3167.96,-12.77,20.17,302.7
16.000000,1,27.69894,77.45292,3478.13,-13.87,21.83,317.7
17.000000,1,27.69915,77.45278,3803.4,-15.03,23.57,332.9
18.000000,1,27.69937,77.45262,4144.01,-16.22,25.36,348.4
19.000000,1,27.69960,77.45245,4500.23,-17.47,27.23,364.1
20.000000,1,27.69986,77.45227,4872.23,-18.76,29.16,380
21.000000,1,27.70013,77.45207,5260.28,-20.11,31.16,396.1
22.000000,1,27.70042,77.45186,5664.55,-21.5,33.22,412.5
23.000000,1,27.70072,77.45163,6085.33,-22.95,35.36,429.2
24.000000,1,27.70105,77.45139,6522.94,-24.45,37.57,446.1
25.000000,1,27.70140,77.45114,6977.61,-26,39.85,463.3
26.000000,1,27.70177,77.45087,7449.64,-27.6,42.2,480.8
27.000000,1,27.70216,77.45058,7939.25,-29.26,44.63,498.6
28.000000,1,27.70257,77.45027,8446.78,-30.97,47.13,516.7
29.000000,1,27.70300,77.44995,8972.71,-32.74,49.72,535.2
30.000000,1,27.70346,77.44961,9517.26,-34.57,52.38,554
31.000000,1,27.70394,77.44925,10080.8,-36.46,55.12,573.2
32.000000,1,27.70445,77.44887,10663.7,-38.41,57.95,592.8
33.000000,1,27.70498,77.44847,11266.4,-40.43,60.87,612.8
34.000000,1,27.70554,77.44805,11889.4,-42.52,63.88,633.3
35.000000,1,27.70613,77.44761,12533.1,-44.67,66.98,654.2
36.000000,1,27.70674,77.44715,13198,-46.89,70.17,675.6
37.000000,1,27.70739,77.44666,13884.8,-49.19,73.47,697.6
38.000000,1,27.70806,77.44615,14594,-51.56,76.87,720.1
39.000000,1,27.70876,77.44561,15325.6,-54.01,80.38,743.2
40.000000,1,27.70950,77.44506,16080.6,-56.54,84,766.9
41.000000,1,27.71027,77.44447,16859.5,-59.16,87.73,791.2
42.000000,1,27.71107,77.44386,17663.2,-61.86,91.57,816.1
43.000000,1,27.71191,77.44322,18492.3,-64.64,95.53,841.6
44.000000,1,27.71278,77.44255,19347,-67.52,99.61,867.9
45.000000,1,27.71369,77.44185,20227.9,-70.48,103.8,894.8
46.000000,1,27.71465,77.44112,21138.1,-73.55,108.1,922.4
47.000000,1,27.71563,77.44037,22070.1,-76.69,112.6,950.6
48.000000,1,27.71667,77.43956,23049,-79.98,117.2,980.1
49.000000,1,27.71770,77.43877,24004.2,-83.21,121.8,1009
50.000000,1,27.71884,77.43789,25057.7,-86.76,126.8,1040
51.000000,1,27.71998,77.43701,26091.4,-86.78,126.6,1029
52.000000,1,27.72111,77.43613,27115.5,-86.81,126.5,1019
53.000000,1,27.72224,77.43526,28130,-86.85,126.3,1008
54.000000,1,27.72338,77.43437,29141.3,-88.73,128.9,1019
55.000000,1,27.72454,77.43346,30166,-90.64,131.5,1030
56.000000,1,27.72573,77.43254,31201.4,-92.59,134.1,1041
57.000000,1,27.72694,77.43159,32248,-94.57,136.8,1052
58.000000,1,27.72817,77.43063,33305.8,-96.58,139.5,1064
59.000000,1,27.72943,77.42964,34375.3,-98.63,142.3,1075
60.000000,1,27.73072,77.42864,35456.2,-100.7,145.1,1087
61.000000,1,27.73203,77.42761,36548.8,-102.8,147.9,1098
62.000000,1,27.73336,77.42656,37653.2,-105,150.8,1110
63.000000,1,27.73472,77.42549,38769.6,-107.2,153.7,1122
64.000000,1,27.73610,77.42440,39898.1,-109.4,156.7,1135
65.000000,1,27.73752,77.42329,41038.2,-111.6,159.7,1147
66.000000,1,27.73895,77.42215,42190.9,-113.9,162.7,1159
67.000000,1,27.74042,77.42099,43356.6,-116.2,165.8,1172
68.000000,1,27.74191,77.41981,44534.7,-118.5,169,1184
69.000000,1,27.74343,77.41860,45725.4,-120.9,172.1,1197
70.000000,1,27.74498,77.41737,46929,-123.3,175.3,1210
71.000000,1,27.74656,77.41612,48145.6,-125.7,178.6,1223
72.000000,1,27.74817,77.41484,49375.2,-128.2,181.9,1236
73.000000,1,27.74980,77.41353,50617.8,-130.7,185.2,1249
74.000000,1,27.75147,77.41220,51873.8,-133.3,188.6,1263
75.000000,1,27.75317,77.41085,53143.2,-135.8,192,1276
76.000000,1,27.75489,77.40947,54426.1,-138.5,195.5,1290
77.000000,1,27.75665,77.40806,55722.8,-141.1,199,1303
78.000000,1,27.75844,77.40663,57033.3,-143.8,202.5,1317
79.000000,1,27.76025,77.40517,58357.5,-146.5,206.1,1331
80.000000,1,27.76210,77.40368,59695.9,-149.2,209.7,1345
81.000000,1,27.76399,77.40217,61048.3,-152,213.4,1360
82.000000,1,27.76590,77.40062,62415.1,-154.8,217.1,1374
83.000000,1,27.76785,77.39905,63796.3,-157.7,220.9,1388
84.000000,1,27.76983,77.39745,65192,-160.6,224.7,1403
85.000000,1,27.77185,77.39582,66602.3,-163.5,228.6,1418
86.000000,1,27.77390,77.39417,68027.5,-166.5,232.5,1433
87.000000,1,27.77598,77.39248,69467.5,-169.5,236.4,1448
88.000000,1,27.77810,77.39076,70922.7,-172.5,240.4,1463
89.000000,1,27.78025,77.38901,72393,-175.6,244.4,1478
90.000000,1,27.78244,77.38724,73878.6,-178.7,248.5,1493
91.000000,1,27.78467,77.38543,75379.8,-181.9,252.6,1509
92.000000,1,27.78693,77.38359,76896.5,-185.1,256.8,1525
93.000000,1,27.78923,77.38171,78428.9,-188.3,261,1540
94.000000,1,27.79156,77.37981,79977.3,-191.6,265.3,1556
95.000000,1,27.79393,77.37787,81541.7,-194.9,269.6,1572
96.000000,1,27.79634,77.37590,83122.3,-198.2,274,1589
97.000000,1,27.79879,77.37390,84719.2,-201.6,278.4,1605
98.000000,1,27.80128,77.37186,86332.5,-205,282.9,1622
99.000000,1,27.80381,77.36979,87962.5,-208.5,287.4,1638
100.000000,1,27.80637,77.36768,89609.3,-212,291.9,1655
101.000000,1,27.80898,77.36554,91273,-215.6,296.5,1672
102.000000,1,27.81162,77.36336,92953.7,-219.2,301.2,1689
103.000000,1,27.81431,77.36115,94651.7,-222.8,305.9,1707
104.000000,1,27.81704,77.35890,96367.2,-226.5,310.7,1724
105.000000,1,27.81981,77.35662,98100.1,-230.2,315.5,1742
106.000000,1,27.82262,77.35430,99850.8,-234,320.4,1760
107.000000,1,27.82548,77.35194,101619,-237.8,325.3,1778
108.000000,1,27.82838,77.34954,103406,-241.6,330.3,1796
109.000000,1,27.83132,77.34711,105211,-245.5,335.3,1814
110.000000,1,27.83430,77.34464,107033,-249.5,340.4,1833
111.000000,1,27.83734,77.34212,108879,-253.5,345.5,1851
112.000000,1,27.84040,77.33957,110736,-257.5,350.7,1870
113.000000,1,27.84353,77.33698,112620,-261.6,355.9,1889
114.000000,1,27.84666,77.33437,114499,-261.7,355.8,1880
115.000000,1,27.84980,77.33176,116374,-261.9,355.7,1870
116.000000,1,27.85296,77.32913,118244,-1127,1529,-225.2
117.000000,1,27.86657,77.31778,118237,-1151,1562,-12.42
118.000000,1,27.88045,77.30621,118220,-1168,1585,-21.66
119.000000,1,27.89454,77.29447,118193,-1186,1609,-31.01
120.000000,1,27.90883,77.28255,118158,-1203,1632,-40.48
121.000000,1,27.92333,77.27046,118112,-1220,1656,-50.07
122.000000,1,27.93803,77.25819,118057,-1238,1679,-59.78
123.000000,1,27.95295,77.24574,117993,-1255,1703,-69.6
124.000000,1,27.96808,77.23312,117918,-1273,1727,-79.54
125.000000,1,27.98342,77.22031,117834,-1291,1751,-89.59
126.000000,1,27.99897,77.20732,117739,-1309,1776,-99.76
127.000000,1,28.01475,77.19415,117634,-1328,1800,-110
128.000000,1,28.03074,77.18079,117519,-1346,1825,-120.4
129.000000,1,28.04695,77.16725,117393,-1365,1850,-131
130.000000,1,28.06338,77.15351,117257,-1383,1875,-141.6
131.000000,1,28.08003,77.13959,117110,-1402,1901,-152.3
132.000000,1,28.09691,77.12548,116952,-1421,1926,-163.2
133.000000,1,28.11402,77.11117,116784,-1440,1952,-174.1
134.000000,1,28.13136,77.09667,116604,-1460,1978,-185.2
135.000000,1,28.14892,77.08197,116413,-1479,2004,-196.4
136.000000,1,28.16672,77.06707,116211,-1499,2031,-207.7
137.000000,1,28.18476,77.05197,115998,-1519,2057,-219.1
138.000000,1,28.20303,77.03667,115773,-1538,2084,-230.6
139.000000,1,28.22153,77.02116,115536,-1559,2111,-242.3
140.000000,1,28.24028,77.00545,115288,-1579,2139,-254
141.000000,1,28.25928,76.98953,115028,-1599,2166,-265.9
142.000000,1,28.27851,76.97340,114756,-1620,2194,-277.9
143.000000,1,28.29800,76.95706,114472,-1641,2222,-290
144.000000,1,28.31773,76.94051,114176,-1662,2250,-302.2
145.000000,1,28.33771,76.92374,113868,-1683,2279,-314.5
146.000000,1,28.35795,76.90675,113547,-1705,2307,-326.9
147.000000,1,28.37844,76.88954,113214,-1726,2336,-339.4
148.000000,1,28.39919,76.87211,112868,-1748,2366,-352.1
149.000000,1,28.42020,76.85445,112510,-1770,2395,-364.9
150.000000,1,28.44147,76.83657,112139,-1793,2425,-377.7
151.000000,1,28.46301,76.81846,111754,-1815,2455,-390.7
152.000000,1,28.48482,76.80011,111357,-1838,2485,-403.8
153.000000,1,28.50690,76.78153,110947,-1861,2516,-417.1
154.000000,1,28.52925,76.76272,110523,-1884,2547,-430.4
155.000000,1,28.55187,76.74366,110086,-1907,2578,-443.9
156.000000,1,28.57478,76.72437,109635,-1931,2609,-457.4
157.000000,1,28.59796,76.70483,109171,-1955,2641,-471.1
158.000000,1,28.62143,76.68504,108693,-1979,2673,-484.9
159.000000,1,28.64519,76.66500,108201,-2003,2706,-498.8
