Time,Latitude,Longitude,Heading_Angle,Normal_Acceleration_Command,LOS_Distance_Rate,LOS_Angle,LOS_Angle_Rate,Leading_Angle,Leading_Angle_Target,Target_Overload,Heading_Angle_Target
1,50,-80,0,0,1.48941e+06,328.548,0,0,0,0,0
2,50,-80,328.548,-0.0189682,1.48841e+06,328.546,-0.00253514,0.00253514,-188.108,12.4835,140.437
3,50.0107,-80.0102,328.529,-0.0468474,1.48602e+06,328.535,-0.0102858,-0.00614725,-188.09,8.06628,140.445
4,50.0215,-80.0204,328.482,-0.0461637,1.48362e+06,328.525,-0.0101148,-0.0428799,-188.072,8.06617,140.453
5,50.0322,-80.0307,328.436,-0.0498063,1.48122e+06,328.515,-0.0102441,-0.0787995,-188.049,12.4849,140.466
6,50.0429,-80.0409,328.386,-0.047767,1.47882e+06,328.504,-0.0105155,-0.11809,-188.03,8.0659,140.474
7,50.0536,-80.0512,328.339,-0.0484203,1.47642e+06,328.494,-0.0100341,-0.155823,-188.009,11.7113,140.486
8,50.0643,-80.0615,328.29,-0.0494832,1.47403e+06,328.484,-0.0101626,-0.194081,-187.986,12.4865,140.498
9,50.075,-80.0718,328.241,-0.0462441,1.47164e+06,328.474,-0.0101346,-0.233429,-187.968,8.06546,140.506
10,50.0857,-80.0821,328.194,-0.0461346,1.46924e+06,328.464,-0.0101071,-0.269566,-187.95,8.06535,140.514
11,50.0964,-80.0925,328.148,-0.0460291,1.46685e+06,328.454,-0.0100807,-0.30562,-187.932,8.06524,140.522
12,50.107,-80.1028,328.102,-0.0490527,1.46445e+06,328.444,-0.0100541,-0.341595,-187.909,12.4884,140.535
13,50.1177,-80.1132,328.053,-0.0470174,1.46205e+06,328.434,-0.0103276,-0.38032,-187.891,8.06496,140.543
14,50.1284,-80.1236,328.006,-0.0457011,1.45965e+06,328.424,-0.00999846,-0.417339,-187.873,8.06485,140.551
15,50.1391,-80.134,327.96,-0.0487235,1.45726e+06,328.414,-0.00997114,-0.453069,-187.85,12.4898,140.563
16,50.1497,-80.1444,327.912,-0.0461153,1.45487e+06,328.403,-0.0101018,-0.491691,-187.832,8.06457,140.572
17,50.1604,-80.1548,327.866,-0.0453678,1.45247e+06,328.394,-0.00991486,-0.527891,-187.814,8.06446,140.58
18,50.171,-80.1653,327.82,-0.0521797,1.45007e+06,328.383,-0.0101909,-0.563068,-187.788,16.1285,140.596
19,50.1817,-80.1757,327.768,-0.0451412,1.44767e+06,328.373,-0.00985802,-0.60539,-187.77,8.06412,140.604
20,50.1923,-80.1862,327.723,-0.0456621,1.44528e+06,328.363,-0.00998812,-0.640543,-187.752,8.06401,140.612
