Time,Latitude,Longitude,Heading_Angle,Normal_Acceleration_Command,LOS_Distance,LOS_Distance_Rate,LOS_Angle,LOS_Angle_Rate,LOS_Angle_Acceleration
1,50,-80,0,0,1.48941e+06,0,328.548,0,0
2,50,-80,328.548,-0.00719995,1.48841e+06,-994.023,328.546,-0.00253514,0
3,50.0107,-80.0102,328.541,-0.0790551,1.48602e+06,-2394.06,328.535,-0.0102899,-0.00507027
4,50.0215,-80.0204,328.462,-0.110316,1.48362e+06,-2397.9,328.525,-0.0101117,-0.02396
5,50.0322,-80.0307,328.352,-0.129029,1.48122e+06,-2394.27,328.515,-0.010207,-0.0346194
6,50.0429,-80.041,328.223,-0.134565,1.47882e+06,-2402.49,328.505,-0.0104275,-0.0367047
7,50.0535,-80.0513,328.088,-0.131855,1.47642e+06,-2398.2,328.495,-0.00988689,-0.0374258
8,50.0642,-80.0617,327.956,-0.130823,1.47403e+06,-2394.55,328.485,-0.00995424,-0.0366705
9,50.0749,-80.0721,327.825,-0.12933,1.47164e+06,-2394.63,328.475,-0.00986658,-0.0361457
10,50.0855,-80.0826,327.696,-0.128354,1.46924e+06,-2394.7,328.465,-0.00977923,-0.0359217
11,50.0961,-80.0931,327.568,-0.127271,1.46685e+06,-2394.77,328.455,-0.00969218,-0.0356347
12,50.1067,-80.1036,327.44,-0.126144,1.46445e+06,-2394.83,328.446,-0.00960528,-0.0353217
13,50.1173,-80.1142,327.314,-0.127507,1.46205e+06,-2403.02,328.436,-0.00981985,-0.0350064
14,50.1279,-80.1248,327.187,-0.124915,1.45965e+06,-2394.94,328.426,-0.00943169,-0.0352941
15,50.1385,-80.1354,327.062,-0.123436,1.45726e+06,-2394.99,328.417,-0.00934421,-0.0347784
16,50.149,-80.1461,326.938,-0.12265,1.45487e+06,-2391.29,328.408,-0.00941644,-0.0341408
17,50.1595,-80.1568,326.816,-0.121048,1.45247e+06,-2395.07,328.399,-0.00917158,-0.0340704
18,50.1701,-80.1676,326.695,-0.122222,1.45007e+06,-2403.24,328.389,-0.00938896,-0.0336441
19,50.1806,-80.1784,326.572,-0.119358,1.44767e+06,-2395.13,328.38,-0.0089995,-0.0337689
20,50.1911,-80.1892,326.453,-0.118731,1.44528e+06,-2391.41,328.371,-0.00907317,-0.0332162
21,50.2015,-80.2001,326.334,-0.116691,1.44289e+06,-2395.17,328.362,-0.00882768,-0.0328961
22,50.212,-80.211,326.218,-0.118673,1.44049e+06,-2399.58,328.353,-0.00920831,-0.0324047
23,50.2224,-80.222,326.099,-0.115445,1.43809e+06,-2395.19,328.344,-0.00865729,-0.0328487
24,50.2329,-80.233,325.983,-0.114655,1.4357e+06,-2391.45,328.336,-0.00873272,-0.03219
25,50.2433,-80.244,325.869,-0.115731,1.4333e+06,-2399.6,328.327,-0.00895487,-0.0317015
26,50.2537,-80.255,325.753,-0.11243,1.43091e+06,-2395.2,328.318,-0.00840168,-0.0321088
27,50.2641,-80.2661,325.641,-0.111407,1.42851e+06,-2391.44,328.31,-0.00847861,-0.0313052
28,50.2745,-80.2772,325.529,-0.112425,1.42611e+06,-2399.58,328.301,-0.00870276,-0.0307819
29,50.2848,-80.2884,325.417,-0.110065,1.42372e+06,-2391.42,328.293,-0.00831104,-0.031191
30,50.2952,-80.2996,325.307,-0.108672,1.42133e+06,-2391.4,328.285,-0.0082267,-0.0307132
31,50.3055,-80.3108,325.198,-0.10951,1.41893e+06,-2399.53,328.276,-0.00845245,-0.0300832
32,50.3158,-80.322,325.089,-0.106865,1.41654e+06,-2391.36,328.268,-0.00805984,-0.0303235
33,50.3261,-80.3333,324.982,-0.10541,1.41415e+06,-2391.33,328.26,-0.00797615,-0.0298072
34,50.3364,-80.3447,324.876,-0.106245,1.41175e+06,-2399.46,328.252,-0.00820404,-0.0291739
35,50.3467,-80.356,324.77,-0.103615,1.40936e+06,-2391.27,328.244,-0.0078109,-0.0294189
36,50.357,-80.3674,324.666,-0.104652,1.40696e+06,-2399.39,328.236,-0.00803954,-0.0289046
37,50.3672,-80.3788,324.562,-0.101589,1.40457e+06,-2391.2,328.228,-0.00764569,-0.0288957
38,50.3775,-80.3903,324.46,-0.101005,1.40218e+06,-2387.41,328.221,-0.00772919,-0.0283137
39,50.3877,-80.4017,324.359,-0.10143,1.39978e+06,-2399.28,328.213,-0.00779461,-0.0280069
40,50.3979,-80.4132,324.258,-0.0986304,1.39739e+06,-2391.07,328.205,-0.0074,-0.0281493
41,50.4081,-80.4248,324.159,-0.100363,1.39499e+06,-2395.44,328.198,-0.00779909,-0.0274599
42,50.4183,-80.4364,324.059,-0.0968329,1.3926e+06,-2390.97,328.19,-0.00723705,-0.0277509
43,50.4285,-80.448,323.962,-0.0985627,1.39021e+06,-2395.34,328.183,-0.0076378,-0.0270555
44,50.4386,-80.4596,323.863,-0.0947841,1.38782e+06,-2390.87,328.176,-0.00707446,-0.0272041
45,50.4488,-80.4712,323.769,-0.0964605,1.38542e+06,-2395.24,328.168,-0.00747727,-0.0264715
46,50.4589,-80.4829,323.672,-0.0936831,1.38304e+06,-2387.01,328.161,-0.00708172,-0.0266191
47,50.469,-80.4946,323.578,-0.0939305,1.38064e+06,-2398.87,328.154,-0.0071486,-0.0262242
48,50.4792,-80.5064,323.485,-0.0914002,1.37825e+06,-2386.89,328.147,-0.00692137,-0.0259243
49,50.4893,-80.5182,323.393,-0.0925497,1.37585e+06,-2395,328.14,-0.00715926,-0.025463
50,50.4993,-80.53,323.301,-0.0898351,1.37347e+06,-2386.76,328.133,-0.00676261,-0.0256441
51,50.5094,-80.5418,323.211,-0.0908594,1.37107e+06,-2394.88,328.126,-0.00700155,-0.0251085
52,50.5195,-80.5537,323.12,-0.0878485,1.36869e+06,-2386.63,328.12,-0.0066042,-0.0251153
53,50.5295,-80.5655,323.032,-0.088806,1.36629e+06,-2394.74,328.113,-0.00684451,-0.0245391
54,50.5396,-80.5774,322.943,-0.0857961,1.36391e+06,-2386.49,328.106,-0.00644678,-0.0245439
55,50.5496,-80.5894,322.857,-0.0867584,1.36151e+06,-2394.61,328.1,-0.00668864,-0.0239684
56,50.5596,-80.6014,322.771,-0.0862407,1.35912e+06,-2394.54,328.093,-0.00661139,-0.0239761
57,50.5696,-80.6133,322.684,-0.0833361,1.35673e+06,-2386.28,328.087,-0.00621216,-0.0240436
58,50.5796,-80.6254,322.601,-0.0838391,1.35434e+06,-2394.4,328.08,-0.00645592,-0.0231969
59,50.5896,-80.6374,322.517,-0.0817836,1.35195e+06,-2382.39,328.074,-0.00623067,-0.0231371
60,50.5996,-80.6495,322.435,-0.0822843,1.34956e+06,-2394.26,328.068,-0.0063027,-0.0229035
61,50.6096,-80.6616,322.353,-0.0815858,1.34716e+06,-2394.19,328.062,-0.00622633,-0.022802
62,50.6195,-80.6737,322.272,-0.0794507,1.34478e+06,-2382.17,328.056,-0.0060006,-0.0226909
63,50.6295,-80.6858,322.192,-0.0794213,1.34239e+06,-2394.04,328.049,-0.00607329,-0.0221514
64,50.6394,-80.698,322.113,-0.0796782,1.34e+06,-2390.22,328.043,-0.00617305,-0.0219769
65,50.6493,-80.7102,322.033,-0.0759955,1.33761e+06,-2385.68,328.038,-0.00559636,-0.0222113
66,50.6592,-80.7224,321.957,-0.0773222,1.33522e+06,-2390.07,328.032,-0.00602189,-0.0212045
67,50.6691,-80.7346,321.88,-0.0759134,1.33283e+06,-2393.74,328.026,-0.00577097,-0.0213148
68,50.679,-80.7469,321.804,-0.073855,1.33045e+06,-2381.71,328.02,-0.00554595,-0.0212291
69,50.6889,-80.7592,321.73,-0.0746603,1.32806e+06,-2389.84,328.015,-0.00579835,-0.0205435
70,50.6988,-80.7715,321.655,-0.0744071,1.32567e+06,-2389.77,328.009,-0.00572463,-0.0206914
71,50.7086,-80.7838,321.581,-0.0741069,1.32328e+06,-2389.69,328.003,-0.0056502,-0.0208147
72,50.7185,-80.7962,321.507,-0.069683,1.32089e+06,-2385.14,327.998,-0.00506823,-0.0206288
73,50.7283,-80.8085,321.437,-0.0705896,1.3185e+06,-2389.54,327.993,-0.00550138,-0.019352
74,50.7381,-80.8209,321.367,-0.070212,1.31611e+06,-2389.47,327.987,-0.00542913,-0.019421
75,50.7479,-80.8333,321.296,-0.0701826,1.31372e+06,-2389.4,327.982,-0.00535618,-0.0196968
76,50.7578,-80.8458,321.226,-0.0680695,1.31135e+06,-2377.35,327.977,-0.00513257,-0.0195552
77,50.7676,-80.8582,321.158,-0.0679937,1.30896e+06,-2389.24,327.972,-0.00520998,-0.0190016
78,50.7774,-80.8707,321.09,-0.0672174,1.30657e+06,-2389.17,327.966,-0.00513757,-0.0188376
79,50.7871,-80.8832,321.023,-0.0665443,1.30418e+06,-2389.1,327.961,-0.00506505,-0.0187344
80,50.7969,-80.8958,320.956,-0.0656611,1.30179e+06,-2389.02,327.956,-0.00499265,-0.0185077
81,50.8067,-80.9083,320.891,-0.065865,1.29941e+06,-2385.21,327.951,-0.00510273,-0.0182486
82,50.8164,-80.9209,320.825,-0.0619141,1.29702e+06,-2380.64,327.947,-0.00451479,-0.0183511
83,50.8262,-80.9334,320.763,-0.0621214,1.29464e+06,-2388.81,327.942,-0.00477664,-0.0173008
84,50.8359,-80.9461,320.701,-0.0623984,1.29225e+06,-2385,327.937,-0.00489001,-0.017068
85,50.8456,-80.9587,320.638,-0.0614809,1.28986e+06,-2388.67,327.932,-0.00463605,-0.0174897
86,50.8554,-80.9713,320.577,-0.0616412,1.28748e+06,-2384.86,327.928,-0.0047494,-0.017188
87,50.8651,-80.984,320.515,-0.0598655,1.28509e+06,-2388.53,327.923,-0.00449426,-0.0171122
88,50.8748,-80.9967,320.455,-0.059827,1.2827e+06,-2384.73,327.919,-0.00460853,-0.0166885
89,50.8845,-81.0094,320.396,-0.0567057,1.28033e+06,-2376.41,327.914,-0.00420149,-0.0166008
90,50.8941,-81.0221,320.339,-0.0574872,1.27794e+06,-2384.59,327.91,-0.00446933,-0.0158736
91,50.9038,-81.0348,320.281,-0.0558661,1.27555e+06,-2388.27,327.906,-0.00421449,-0.0158907
92,50.9135,-81.0476,320.225,-0.0561384,1.27317e+06,-2384.47,327.901,-0.00433214,-0.0156321
93,50.9232,-81.0603,320.169,-0.055598,1.27079e+06,-2384.41,327.897,-0.00426384,-0.0155889
94,50.9328,-81.0731,320.114,-0.0550584,1.2684e+06,-2384.35,327.893,-0.00419521,-0.0155474
95,50.9425,-81.0859,320.059,-0.0542437,1.26602e+06,-2384.29,327.889,-0.00412659,-0.0153443
96,50.9521,-81.0987,320.004,-0.0533598,1.26363e+06,-2384.23,327.885,-0.00405811,-0.0151
97,50.9617,-81.1116,319.951,-0.0524711,1.26125e+06,-2384.17,327.881,-0.00398992,-0.0148517
98,50.9713,-81.1244,319.899,-0.0515855,1.25886e+06,-2384.11,327.877,-0.00392206,-0.0146039
99,50.981,-81.1373,319.847,-0.0507041,1.25648e+06,-2384.06,327.873,-0.00385452,-0.0143571
100,50.9906,-81.1502,319.796,-0.049827,1.2541e+06,-2384,327.869,-0.00378732,-0.0141115
101,51.0002,-81.1631,319.746,-0.0501758,1.25172e+06,-2380.22,327.865,-0.00391133,-0.0138672
102,51.0098,-81.176,319.696,-0.0487354,1.24933e+06,-2383.9,327.862,-0.00365381,-0.0140057
103,51.0194,-81.189,319.648,-0.0476487,1.24695e+06,-2383.85,327.858,-0.00358677,-0.0136363
104,51.0289,-81.2019,319.6,-0.0476706,1.24457e+06,-2380.07,327.854,-0.00371265,-0.0131902
105,51.0385,-81.2149,319.552,-0.0461512,1.24218e+06,-2383.75,327.851,-0.00345454,-0.0132869
106,51.0481,-81.2279,319.506,-0.0450656,1.2398e+06,-2383.71,327.847,-0.00338844,-0.0129143
107,51.0576,-81.2409,319.461,-0.0451101,1.23742e+06,-2379.93,327.844,-0.00351667,-0.0124694
108,51.0672,-81.2539,319.416,-0.0435943,1.23504e+06,-2383.62,327.841,-0.00325819,-0.012572
109,51.0767,-81.2669,319.372,-0.0437764,1.23266e+06,-2379.85,327.837,-0.00338761,-0.012202
110,51.0863,-81.2799,319.329,-0.0432492,1.23028e+06,-2379.81,327.834,-0.00332359,-0.0121484
111,51.0958,-81.293,319.285,-0.0415113,1.22789e+06,-2383.5,327.831,-0.00306385,-0.0121271
112,51.1053,-81.3061,319.244,-0.0438877,1.22551e+06,-2388.04,327.827,-0.00354475,-0.0115504
113,51.1149,-81.3192,319.2,-0.0419455,1.22313e+06,-2379.7,327.824,-0.0031313,-0.0121517
114,51.1244,-81.3323,319.158,-0.0410668,1.22075e+06,-2379.66,327.821,-0.00306626,-0.0118953
115,51.1339,-81.3454,319.117,-0.0383966,1.21836e+06,-2383.36,327.818,-0.00280473,-0.0113355
116,51.1434,-81.3585,319.079,-0.0380426,1.21598e+06,-2379.6,327.815,-0.00293861,-0.0106273
117,51.1529,-81.3716,319.04,-0.0374367,1.2136e+06,-2379.57,327.813,-0.00287659,-0.0105192
118,51.1624,-81.3848,319.003,-0.0369852,1.21122e+06,-2379.55,327.81,-0.00281459,-0.0105017
119,51.1719,-81.3979,318.966,-0.0388004,1.20884e+06,-2387.84,327.807,-0.0031062,-0.010324
120,51.1814,-81.4111,318.927,-0.0366649,1.20646e+06,-2379.5,327.804,-0.00269026,-0.010811
121,51.1909,-81.4243,318.891,-0.0367546,1.20408e+06,-2375.75,327.801,-0.00282724,-0.01035
122,51.2003,-81.4375,318.854,-0.0346799,1.2017e+06,-2379.45,327.799,-0.00256478,-0.0101455
123,51.2098,-81.4507,318.819,-0.0334987,1.19932e+06,-2379.43,327.796,-0.00250256,-0.00969962
124,51.2193,-81.4639,318.786,-0.0323216,1.19694e+06,-2379.42,327.794,-0.00244144,-0.0092516
125,51.2287,-81.4772,318.753,-0.0353176,1.19456e+06,-2384.01,327.791,-0.00294019,-0.00897932
126,51.2382,-81.4904,318.718,-0.0325533,1.19218e+06,-2379.39,327.788,-0.0023204,-0.00987224
127,51.2476,-81.5037,318.685,-0.0311226,1.1898e+06,-2379.38,327.786,-0.00225819,-0.00927943
128,51.2571,-81.517,318.654,-0.0306542,1.18742e+06,-2375.65,327.784,-0.00240123,-0.00845997
129,51.2665,-81.5302,318.624,-0.0315503,1.18504e+06,-2387.7,327.781,-0.00249718,-0.00851041
130,51.2759,-81.5435,318.592,-0.0305286,1.18266e+06,-2375.64,327.779,-0.00228239,-0.0088614
131,51.2854,-81.5568,318.562,-0.0283206,1.18028e+06,-2379.35,327.777,-0.00201707,-0.00859547
132,51.2948,-81.5701,318.533,-0.0279284,1.17791e+06,-2375.63,327.775,-0.00216279,-0.00780754
133,51.3042,-81.5835,318.505,-0.0285345,1.17552e+06,-2387.69,327.772,-0.00226009,-0.00769058
134,51.3136,-81.5968,318.477,-0.0274687,1.17314e+06,-2375.63,327.77,-0.0020461,-0.0080034
135,51.323,-81.6101,318.449,-0.0266174,1.17077e+06,-2375.63,327.768,-0.00198728,-0.00773697
136,51.3325,-81.6235,318.423,-0.0255877,1.16839e+06,-2375.64,327.766,-0.00192898,-0.00736327
137,51.3419,-81.6369,318.397,-0.0259608,1.166e+06,-2387.72,327.764,-0.00202695,-0.00711386
138,51.3513,-81.6502,318.371,-0.0245452,1.16363e+06,-2375.66,327.763,-0.00181341,-0.00721109
139,51.3607,-81.6636,318.347,-0.0236208,1.16125e+06,-2375.67,327.761,-0.00175566,-0.0068973
140,51.3701,-81.677,318.323,-0.0251682,1.15887e+06,-2384.05,327.759,-0.00206452,-0.00652163
141,51.3795,-81.6904,318.298,-0.0230341,1.15649e+06,-2375.7,327.757,-0.00164155,-0.00700781
142,51.3888,-81.7038,318.275,-0.02187,1.15412e+06,-2375.71,327.756,-0.00158374,-0.00655299
143,51.3982,-81.7172,318.253,-0.0230464,1.15173e+06,-2384.1,327.754,-0.00189485,-0.005954
144,51.4076,-81.7307,318.23,-0.0208339,1.14936e+06,-2375.75,327.752,-0.00147077,-0.00639411
145,51.417,-81.7441,318.209,-0.0196691,1.14698e+06,-2375.77,327.751,-0.0014139,-0.00593503
146,51.4264,-81.7575,318.189,-0.0208586,1.1446e+06,-2384.18,327.749,-0.00172787,-0.00533676
147,51.4357,-81.771,318.169,-0.0200782,1.14223e+06,-2372.12,327.748,-0.00151659,-0.00578359
148,51.4451,-81.7844,318.148,-0.0208196,1.13984e+06,-2384.23,327.746,-0.00161772,-0.00575416
149,51.4545,-81.7979,318.128,-0.017851,1.13747e+06,-2375.88,327.745,-0.00119059,-0.00575642
150,51.4638,-81.8114,318.11,-0.0176003,1.13509e+06,-2372.2,327.743,-0.00134966,-0.00498853
151,51.4732,-81.8249,318.092,-0.0180011,1.13271e+06,-2384.33,327.742,-0.00145261,-0.0047592
152,51.4825,-81.8384,318.074,-0.0155558,1.13033e+06,-2375.98,327.741,-0.00102509,-0.00506559
153,51.4919,-81.8519,318.059,-0.0154683,1.12796e+06,-2372.31,327.74,-0.00118725,-0.00437951
154,51.5013,-81.8654,318.043,-0.015892,1.12558e+06,-2384.45,327.738,-0.00129153,-0.00416468
155,51.5106,-81.8789,318.027,-0.0149174,1.1232e+06,-2372.39,327.737,-0.0010812,-0.00447827
156,51.52,-81.8924,318.012,-0.0152768,1.12082e+06,-2384.54,327.736,-0.00118501,-0.00422919
157,51.5293,-81.9059,317.997,-0.0137014,1.11845e+06,-2372.48,327.735,-0.000974372,-0.00418769
158,51.5387,-81.9194,317.983,-0.0112989,1.11607e+06,-2376.23,327.734,-0.00070133,-0.0038516
159,51.548,-81.933,317.972,-0.0136642,1.11369e+06,-2380.99,327.733,-0.00124682,-0.00304717
160,51.5573,-81.9465,317.958,-0.0103665,1.11131e+06,-2376.34,327.733,-0.000596761,-0.00372027
161,51.5667,-81.9601,317.948,-0.0200847,1.10893e+06,-2378.41,327.73,-0.00218825,-0.00306945
162,51.576,-81.9736,317.928,-0.0380523,1.10656e+06,-2373.09,327.726,-0.00423124,-0.00552391
163,51.5853,-81.9872,317.89,-0.0564031,1.1042e+06,-2366.71,327.721,-0.00544815,-0.011572
164,51.5947,-82.0008,317.833,-0.0793873,1.10183e+06,-2361.28,327.713,-0.00748254,-0.0171384
165,51.604,-82.0144,317.754,-0.102059,1.09947e+06,-2359.48,327.704,-0.00928567,-0.0234141
166,51.6133,-82.028,317.652,-0.122306,1.09713e+06,-2349.15,327.693,-0.0106945,-0.0301115
167,51.6226,-82.0417,317.53,-0.126929,1.09478e+06,-2344.11,327.683,-0.00997447,-0.0359098
168,51.6318,-82.0554,317.403,-0.13072,1.09243e+06,-2352.14,327.673,-0.0102306,-0.0368824
169,51.6411,-82.0691,317.272,-0.126728,1.09009e+06,-2343.31,327.663,-0.00971354,-0.036859
170,51.6503,-82.0829,317.145,-0.127429,1.08773e+06,-2351.32,327.653,-0.00996486,-0.0360128
171,51.6595,-82.0967,317.018,-0.126292,1.08538e+06,-2350.91,327.644,-0.00983265,-0.0358782
172,51.6687,-82.1105,316.892,-0.122232,1.08304e+06,-2342.06,327.634,-0.00931237,-0.0358165
173,51.6779,-82.1244,316.769,-0.123751,1.08069e+06,-2346.37,327.624,-0.00979594,-0.0346539
174,51.687,-82.1383,316.646,-0.121926,1.07835e+06,-2349.67,327.615,-0.0094373,-0.0348977
175,51.6962,-82.1522,316.524,-0.117622,1.076e+06,-2340.82,327.606,-0.00891596,-0.0346834
176,51.7053,-82.1662,316.406,-0.117407,1.07366e+06,-2348.84,327.597,-0.00917529,-0.0332781
177,51.7144,-82.1802,316.289,-0.117453,1.07131e+06,-2344.74,327.588,-0.00927785,-0.0330176
178,51.7235,-82.1943,316.171,-0.11285,1.06897e+06,-2339.6,327.579,-0.00852695,-0.033421
