Time,Heading_Angle,Flight_Path_Angle,Radial_Distance,Longitude,Latitude,Lift,Bank_Angle,LOS_Distance_Lateral,Altitude_Error,Delta_V_Lateral,LOS_Angle_Lateral,LOS_Angle_Longitudnal,Reaction_Jet_Lateral,Reaction_Jet_Longitudnal
1,0,0,6.371e+06,-80,50,0,0,1.48941e+06,-10000,0,328.548,0.384683,0,0
2,328.548,0.384683,6.3818e+06,-80,50,0,0,1.48841e+06,800,-65.8569,328.546,-0.0307957,0,0
3,328.546,-0.0307957,6.3818e+06,-80,50,0,0,1.48742e+06,800,-65.6218,328.543,-0.0308163,0,0
4,328.543,-0.0308163,6.3818e+06,-80,50,0,0,1.48642e+06,800,-61.369,328.541,-0.0308369,0,0
5,328.541,-0.0308369,6.3818e+06,-80,50,0,0,1.48542e+06,800,-65.1472,328.538,-0.0308576,0,0
6,328.538,-0.0308576,6.3818e+06,-80,50,0,0,1.48442e+06,800,-72.6091,328.535,-0.0308784,0,0
7,328.535,-0.0308784,6.3818e+06,-80,50,0,0,1.48342e+06,800,-60.6582,328.533,-0.0308992,0,0
8,328.533,-0.0308992,6.3818e+06,-80,50,0,0,1.48243e+06,800,-64.4399,328.531,-0.0309199,0,0
9,328.531,-0.0309199,6.3818e+06,-80,50,0,0,1.48143e+06,800,-64.204,328.528,-0.0309407,0,0
10,328.528,-0.0309407,6.3818e+06,-80,50,0,0,1.48044e+06,800,-63.9681,328.526,-0.0309615,0,0
11,328.526,-0.0309615,6.3818e+06,-80,50,0,0,1.47944e+06,800,-63.732,328.523,-0.0309823,0,0
12,328.523,-0.0309823,6.3818e+06,-80,50,0,0,1.47845e+06,800,-63.4958,328.521,-0.0310032,0,0
13,328.521,-0.0310032,6.3818e+06,-80,50,0,0,1.47745e+06,800,-70.9485,328.518,-0.0310242,0,0
14,328.518,-0.0310242,6.3818e+06,-80,50,0,0,1.47645e+06,800,-63.0266,328.515,-0.0310451,0,0
15,328.515,-0.0310451,6.3818e+06,-80,50,0,0,1.47546e+06,800,-62.79,328.513,-0.0310661,0,0
16,328.513,-0.0310661,6.3818e+06,-80,50,0,0,1.47446e+06,800,-66.5868,328.51,-0.031087,0,0
17,328.51,-0.031087,6.3818e+06,-80,50,0,0,1.47347e+06,800,-62.3207,328.508,-0.031108,0,0
18,328.508,-0.031108,6.3818e+06,-80,50,0,0,1.47246e+06,800,-69.7667,328.505,-0.0311292,0,0
