Time,Latitude,Longitude,Heading_Angle,Normal_Acceleration_Command,LOS_Distance,LOS_Distance_Rate,LOS_Angle,LOS_Angle_Rate,LOS_Angle_Acceleration
1,50,-80,0,0,1.48941e+06,0,328.548,0,0
2,50,-80,328.548,-0.00850174,1.48841e+06,-994.023,328.546,-0.00253514,-0.00229183
3,50.0107,-80.0102,328.54,-0.0766522,1.48602e+06,-2394.06,328.535,-0.0102895,-0.00458366
4,50.0215,-80.0204,328.463,-0.0786977,1.48362e+06,-2397.9,328.525,-0.0101117,-0.00687549
5,50.0322,-80.0307,328.384,-0.0824476,1.48122e+06,-2394.27,328.515,-0.0102189,-0.00916732
6,50.0429,-80.041,328.302,-0.0812886,1.47882e+06,-2402.49,328.504,-0.0104672,-0.00687549
7,50.0536,-80.0513,328.221,-0.0745425,1.47642e+06,-2398.21,328.495,-0.00996216,-0.00458366
8,50.0643,-80.0616,328.146,-0.0720254,1.47403e+06,-2394.57,328.484,-0.0100692,-0.00229183
9,50.0749,-80.0719,328.074,-0.068579,1.47164e+06,-2394.66,328.474,-0.0100234,-7.76503e-19
10,50.0856,-80.0823,328.005,-0.0651448,1.46924e+06,-2394.76,328.464,-0.00997944,0.00229183
11,50.0963,-80.0927,327.94,-0.0617252,1.46685e+06,-2394.85,328.455,-0.00993766,0.00458366
12,50.1069,-80.1031,327.878,-0.0583202,1.46445e+06,-2394.95,328.445,-0.00989806,0.00687549
13,50.1176,-80.1136,327.82,-0.0571848,1.46205e+06,-2403.17,328.434,-0.0101619,0.00916732
14,50.1282,-80.124,327.763,-0.0515517,1.45965e+06,-2395.14,328.425,-0.00982505,0.0114592
15,50.1388,-80.1345,327.711,-0.0481853,1.45726e+06,-2395.23,328.415,-0.00979122,0.013751
16,50.1495,-80.145,327.663,-0.0521187,1.45487e+06,-2391.58,328.405,-0.00991924,0.0114592
17,50.1601,-80.1555,327.611,-0.0540409,1.45247e+06,-2395.41,328.395,-0.00972952,0.00916732
18,50.1707,-80.166,327.557,-0.0592279,1.45007e+06,-2403.64,328.385,-0.00999943,0.00687549
19,50.1813,-80.1766,327.498,-0.059844,1.44767e+06,-2395.59,328.376,-0.00966003,0.00458366
20,50.1919,-80.1871,327.438,-0.0637143,1.44528e+06,-2391.94,328.366,-0.00978136,0.00229183
21,50.2025,-80.1977,327.374,-0.065582,1.44288e+06,-2395.77,328.356,-0.00958095,-7.76503e-19
22,50.2131,-80.2083,327.309,-0.0717484,1.44048e+06,-2400.24,328.346,-0.0100039,-0.00229183
23,50.2237,-80.2189,327.237,-0.0712559,1.43809e+06,-2395.93,328.337,-0.0094924,-0.00458366
